sample_size,pandas_load_time,spark_load_time,comparison
1000,0.00748896598815918,5.863977909088135,"{'top_airports': {'pandas_time': 0.002009153366088867, 'spark_time': 1.2889232635498047, 'speedup': 0.0015587843147120235, 'efficiency_gain': '0.00x'}, 'top_airlines': {'pandas_time': 0.0008475780487060547, 'spark_time': 0.35127997398376465, 'speedup': 0.002412827691524561, 'efficiency_gain': '0.00x'}, 'aircraft_models_analysis': {'pandas_time': 0.007085084915161133, 'spark_time': 0.8811120986938477, 'speedup': 0.008041070966638635, 'efficiency_gain': '0.01x'}, 'popular_routes': {'pandas_time': 0.0023620128631591797, 'spark_time': 0.44882869720458984, 'speedup': 0.005262615509815546, 'efficiency_gain': '0.01x'}, 'flight_duration_analysis': {'pandas_time': 0.0031223297119140625, 'spark_time': 0.7294065952301025, 'speedup': 0.0042806436524323935, 'efficiency_gain': '0.00x'}, 'airline_fleet_diversity': {'pandas_time': 0.0024824142456054688, 'spark_time': 0.5460302829742432, 'speedup': 0.004546294084796332, 'efficiency_gain': '0.00x'}, 'airport_connectivity': {'pandas_time': 0.001522064208984375, 'spark_time': 0.3016531467437744, 'speedup': 0.005045742852061886, 'efficiency_gain': '0.01x'}}"
5000,0.01185154914855957,0.8650288581848145,"{'top_airports': {'pandas_time': 0.0030388832092285156, 'spark_time': 0.6048552989959717, 'speedup': 0.005024149105204011, 'efficiency_gain': '0.01x'}, 'top_airlines': {'pandas_time': 0.0029239654541015625, 'spark_time': 0.27393102645874023, 'speedup': 0.010674093737760564, 'efficiency_gain': '0.01x'}, 'aircraft_models_analysis': {'pandas_time': 0.004709005355834961, 'spark_time': 0.6638209819793701, 'speedup': 0.007093788059837652, 'efficiency_gain': '0.01x'}, 'popular_routes': {'pandas_time': 0.0031805038452148438, 'spark_time': 0.31441473960876465, 'speedup': 0.010115632139805012, 'efficiency_gain': '0.01x'}, 'flight_duration_analysis': {'pandas_time': 0.0021355152130126953, 'spark_time': 0.5848817825317383, 'speedup': 0.003651191192464287, 'efficiency_gain': '0.00x'}, 'airline_fleet_diversity': {'pandas_time': 0.0044422149658203125, 'spark_time': 0.3010752201080322, 'speedup': 0.014754502094946076, 'efficiency_gain': '0.01x'}, 'airport_connectivity': {'pandas_time': 0.0021810531616210938, 'spark_time': 0.28133583068847656, 'speedup': 0.007752489813628382, 'efficiency_gain': '0.01x'}}"
10000,0.02112412452697754,0.7679154872894287,"{'top_airports': {'pandas_time': 0.0028090476989746094, 'spark_time': 0.6308848857879639, 'speedup': 0.004452551903293989, 'efficiency_gain': '0.00x'}, 'top_airlines': {'pandas_time': 0.0021505355834960938, 'spark_time': 0.2821011543273926, 'speedup': 0.007623278212468032, 'efficiency_gain': '0.01x'}, 'aircraft_models_analysis': {'pandas_time': 0.0050351619720458984, 'spark_time': 0.6315805912017822, 'speedup': 0.007972319039229668, 'efficiency_gain': '0.01x'}, 'popular_routes': {'pandas_time': 0.0030624866485595703, 'spark_time': 0.3347752094268799, 'speedup': 0.009147889575821369, 'efficiency_gain': '0.01x'}, 'flight_duration_analysis': {'pandas_time': 0.0038793087005615234, 'spark_time': 0.5804252624511719, 'speedup': 0.006683562814235483, 'efficiency_gain': '0.01x'}, 'airline_fleet_diversity': {'pandas_time': 0.0056536197662353516, 'spark_time': 0.3150920867919922, 'speedup': 0.01794275389076205, 'efficiency_gain': '0.02x'}, 'airport_connectivity': {'pandas_time': 0.002527475357055664, 'spark_time': 0.37463903427124023, 'speedup': 0.0067464282305024345, 'efficiency_gain': '0.01x'}}"
full,1.642920970916748,0.73659348487854,"{'top_airports': {'pandas_time': 0.1738145351409912, 'spark_time': 3.3172225952148438, 'speedup': 0.05239760979312089, 'efficiency_gain': '0.05x'}, 'top_airlines': {'pandas_time': 0.3562901020050049, 'spark_time': 1.6240530014038086, 'speedup': 0.21938329703342976, 'efficiency_gain': '0.22x'}, 'aircraft_models_analysis': {'pandas_time': 0.23073220252990723, 'spark_time': 3.4034788608551025, 'speedup': 0.06779304704479264, 'efficiency_gain': '0.07x'}, 'popular_routes': {'pandas_time': 0.21150445938110352, 'spark_time': 1.9960620403289795, 'speedup': 0.1059608644960978, 'efficiency_gain': '0.11x'}, 'flight_duration_analysis': {'pandas_time': 0.07832717895507812, 'spark_time': 1.4001972675323486, 'speedup': 0.05594010270646992, 'efficiency_gain': '0.06x'}, 'airline_fleet_diversity': {'pandas_time': 0.5908386707305908, 'spark_time': 2.3480091094970703, 'speedup': 0.2516338920240156, 'efficiency_gain': '0.25x'}, 'airport_connectivity': {'pandas_time': 0.16761231422424316, 'spark_time': 1.5988123416900635, 'speedup': 0.10483551437128918, 'efficiency_gain': '0.10x'}}"
